designation,source_id,bp_rp,bp_g,g_rp,l,b
Gaia DR2 5024246940360932352,5024246940360932352,1.2128458,0.54086494,0.67198086,219.6553848316089,-76.37418451846176
Gaia DR2 734312310944057472,734312310944057472,2.3925076,1.2687435,1.123764,202.29809132217247,61.65346584489187
Gaia DR2 2638846392202000384,2638846392202000384,0.83026886,0.33920097,0.4910679,75.58104639761217,-54.97593296131608
Gaia DR2 1054917845631104768,1054917845631104768,2.876339,1.6373672,1.2389717,139.60684371130318,49.57080055487869
Gaia DR2 5104237064116924928,5104237064116924928,1.7797613,0.861372,0.9183893,204.79435883130063,-58.12969850019315
Gaia DR2 575897703567094912,575897703567094912,2.5999012,1.4254093,1.1744919,122.5946930569978,25.681071645744986
Gaia DR2 2839169718497631104,2839169718497631104,1.0777559,0.464386,0.61336994,96.09257685866143,-34.74447816695239
Gaia DR2 765425539367592832,765425539367592832,2.0837421,1.0564327,1.0273094,174.2251565693068,65.28038142759019
Gaia DR2 3243900189199656704,3243900189199656704,1.4466877,0.6706772,0.7760105,195.13474681601986,-44.674561801883605
Gaia DR2 1344986639585206784,1344986639585206784,2.5653124,1.3937445,1.1715679,67.38178082126758,27.908265361750498
Gaia DR2 369966803546411904,369966803546411904,2.1535902,1.1104355,1.0431547,127.70824954167311,-24.542389722927524
Gaia DR2 3235434224544169344,3235434224544169344,2.2553234,1.1892605,1.0660629,198.71192052412627,-19.179760622805503
Gaia DR2 3289354957669605888,3289354957669605888,2.204424,1.1358767,1.0685472,191.5176763825518,-21.718081329993066
Gaia DR2 1350108057371480832,1350108057371480832,2.5042381,1.3536034,1.1506348,70.77351648726285,30.26480916219501
Gaia DR2 2919750657955207168,2919750657955207168,2.742033,1.4929333,1.2490997,236.6399574416179,-15.1075380713203
Gaia DR2 1814535446755554944,1814535446755554944,2.7480087,1.5165176,1.2314911,65.71433669546084,-15.039346654792237
Gaia DR2 1415478838301959936,1415478838301959936,2.1334467,1.0905695,1.0428772,78.19547813112152,35.7254865764106
Gaia DR2 1503569923213633024,1503569923213633024,2.3367586,1.2391129,1.0976458,98.43613932777053,69.25491140807699
Gaia DR2 3774370912733368448,3774370912733368448,2.5576487,1.4056206,1.1520281,253.14643722322614,39.85331555499666
Gaia DR2 2160590999131198592,2160590999131198592,2.0098839,1.0060091,1.0038748,94.27954781493779,27.435843164736067
Gaia DR2 1073281613960751616,1073281613960751616,1.6984205,0.8167887,0.88163185,139.76069626574906,42.78528534453438
Gaia DR2 1648714425971407616,1648714425971407616,2.23736,1.167181,1.070179,100.2404415014989,37.73226268590569
Gaia DR2 874455448842078848,874455448842078848,1.8925476,0.9404526,0.95209503,194.41716313569756,26.597573997974134
Gaia DR2 5453430927623504896,5453430927623504896,1.9166927,0.9553747,0.961318,276.26159694376355,28.446429137405
Gaia DR2 306640912380417024,306640912380417024,1.596077,0.76000214,0.8360748,126.826450310682,-36.6163075488317
Gaia DR2 6910113135245572736,6910113135245572736,2.1740866,1.1217098,1.0523767,41.64502955282806,-30.564995830538574
Gaia DR2 304578361710169728,304578361710169728,2.657467,1.4442158,1.2132511,138.90932394989443,-29.115626569463583
Gaia DR2 2122637330913500160,2122637330913500160,2.6327515,1.4237194,1.209032,75.42208350964502,27.593537562281224
Gaia DR2 4412043813821967616,4412043813821967616,1.0862007,0.4664564,0.6197443,15.624117566310975,34.946476000851305
Gaia DR2 1880869777826359936,1880869777826359936,2.2123394,1.1391468,1.0731926,88.86408792245844,-27.257803349045023
Gaia DR2 2898991809704820096,2898991809704820096,2.4901485,1.3530636,1.137085,235.20116689444203,-17.55030725363744
